ID_origin_region,Name_origin_region,ID_destination_region,Name_destination_region,Traffic_flow_trucks_2010,Traffic_flow_trucks_2019,Traffic_flow_trucks_2030,Traffic_flow_tons_2010,Traffic_flow_tons_2019,Traffic_flow_tons_2030,Distance_from_origin_region_to_E_road,Distance_within_E_road,Distance_from_E_road_to_destination_region,Edge_path_E_road,Total_distance
101010101,Mittelburgenland,101010201,Mostviertel-Eisenwurzen,493.75,511.25,533.75,6715.0,6953.0,7259.0,30.0,160.0,9.0,"[1034974, 1008535, 1008552, 1000001, 1008851, 1008838, 1008858, 1310508, 1008808, 2608136, 1035529, 1008844, 1008842, 1310466, 1035299, 1310465, 1310464, 1000026, 1000018, 1301190, 1008681, 1310501, 1008690, 1301205, 1008682, 1034982, 1310502, 1008575, 1035027, 1008578]",199.0
101010101,Mittelburgenland,101010203,Sankt Polten,556.25,576.25,601.25,7565.0,7837.0,8177.0,30.0,110.0,5.0,"[1034974, 1008535, 1008552, 1000001, 1008851, 1008838, 1008858, 1310508, 1008808, 2608136, 1035529, 1008844, 1008842, 1310466, 1035299, 1310465, 1310464, 1000026, 1000018, 1301190, 1008681, 1310501, 1008690, 1301205, 1008682]",145.0
101010101,Mittelburgenland,101010204,Waldviertel,472.5,490.0,511.25,6426.0,6664.0,6953.0,30.0,166.0,11.0,"[1034974, 1008535, 1008552, 1000001, 1008851, 1008838, 1008858, 1310508, 1008808, 2608136, 1035529, 1008844, 1008859, 1008883, 1008881, 1008869, 1310522, 1008868, 1310401, 1035569, 1008870, 1301135, 1008885, 1008866, 1310524, 1035576, 1035573, 1008788, 1035559, 1035558, 1035307, 1035306, 1008804, 1008801, 1008805, 1310390, 1008761, 1310540, 1008712, 1015462, 1008693, 1035603, 1008715, 1008697]",207.0
101010101,Mittelburgenland,101010205,Weinviertel,248.75,257.5,268.75,3383.0,3502.0,3655.0,30.0,98.0,30.0,"[1034974, 1008535, 1008552, 1000001, 1008851, 1008838, 1008858, 1310508, 1008808, 2608136, 1035529, 1008844, 1008859, 1008883, 1008881, 1008869, 1310522, 1008868, 1310401, 1035569, 1008870, 1301135, 1008885, 1008866, 1310524, 1035576, 1035573, 1008788, 1035559, 1035558, 1035307, 1035306, 1008804, 1008801, 1008745, 1310538]",158.0
101010101,Mittelburgenland,101010206,Wiener Umland/Nordteil,598.75,620.0,647.5,8143.0,8432.0,8806.0,30.0,74.0,3.0,"[1034974, 1008535, 1008552, 1000001, 1008851, 1008838, 1008858, 1310508, 1008808, 2608136, 1035529, 1008844, 1008859, 1008883, 1008881, 1008869, 1310522, 1008868, 1310401, 1035569, 1008870, 1301135, 1008885, 1008866, 1310524, 1035576, 1035573, 1008788, 1035559]",107.0
101010101,Mittelburgenland,101010207,Wiener Umland/Sudteil,3152.5,3266.25,3410.0,42874.0,44421.0,46376.0,30.0,57.0,11.0,"[1034974, 1008535, 1008552, 1000001, 1008851, 1008838, 1008858, 1310508, 1008808, 2608136, 1035529, 1008844, 2608004, 2500446, 2608008, 2500447, 2500445, 2500444]",98.0
101010101,Mittelburgenland,101010300,Wien,3198.75,3315.0,3461.25,43503.0,45084.0,47073.0,30.0,63.0,3.0,"[1034974, 1008535, 1008552, 1000001, 1008851, 1008838, 1008858, 1310508, 1008808, 2608136, 1035529, 1008844, 1008859, 1008883, 1008881, 1008869, 1310522, 1008868, 1310401, 1035569, 1008870, 1301135, 1008885, 1008866, 1310524]",96.0
101010101,Mittelburgenland,101020101,Klagenfurt-Villach,732.5,758.75,792.5,9962.0,10319.0,10778.0,30.0,360.0,4.0,"[1034974, 1008535, 1008552, 1000001, 1008851, 1008838, 1008858, 1310508, 1008857, 1008835, 1310381, 2608137, 1008678, 1035287, 1000017, 1008675, 1008654, 1008629, 1008663, 1000012, 1034889, 1310398, 1310375, 1310399, 1035020, 1008569, 1008566, 1035597, 1009011, 1009008, 1009027, 1009006, 1008963, 1000094, 1008955, 1008951, 1310403, 1000097, 1035110, 1310420, 1000101, 1310506, 1035113, 1310396, 1034937, 1034844, 1001253, 1310507, 1000084, 1008900, 1000032, 1008888, 1000044, 1000042, 1035098, 1035097, 1035096, 1000033, 1035091, 1035083]",394.0
101010101,Mittelburgenland,101020102,Oberkarnten,217.5,225.0,235.0,2958.0,3060.0,3196.0,30.0,412.0,3.0,"[1000056, 1035072, 1035071, 1310388, 1000039, 1035076, 1000038, 1035088, 1035083, 1035091, 1000033, 1035096, 1035097, 1035098, 1000042, 1000044, 1008888, 1000032, 1008900, 1000084, 1310507, 1001253, 1034844, 1034937, 1310396, 1035113, 1310506, 1000101, 1310420, 1035110, 1000097, 1310403, 1008951, 1008955, 1000094, 1008963, 1009006, 1009027, 1009008, 1009011, 1035597, 1008566, 1008569, 1035020, 1310399, 1310375, 1310398, 1034889, 1000012, 1008663, 1008629, 1008654, 1008675, 1000017, 1035287, 1008678, 2608137, 1310381, 1008835, 1008857, 1310508, 1008858, 1008838, 1008851, 1000001, 1008552, 1008535, 1034974]",445.0
101010101,Mittelburgenland,101020103,Unterkarnten,518.75,537.5,561.25,7055.0,7310.0,7633.0,30.0,307.0,10.0,"[1000084, 1310507, 1001253, 1034844, 1034937, 1310396, 1035113, 1310506, 1000101, 1310420, 1035110, 1000097, 1310403, 1008951, 1008955, 1000094, 1008963, 1009006, 1009027, 1009008, 1009011, 1035597, 1008566, 1008569, 1035020, 1310399, 1310375, 1310398, 1034889, 1000012, 1008663, 1008629, 1008654, 1008675, 1000017, 1035287, 1008678, 2608137, 1310381, 1008835, 1008857, 1310508, 1008858, 1008838, 1008851, 1000001, 1008552, 1008535, 1034974]",347.0
101010101,Mittelburgenland,101020201,Graz,1648.75,1707.5,1783.75,22423.0,23222.0,24259.0,30.0,219.0,2.0,"[1034974, 1008535, 1008552, 1000001, 1008851, 1008838, 1008858, 1310508, 1008857, 1008835, 1310381, 2608137, 1008678, 1035287, 1000017, 1008675, 1008654, 1008629, 1008663, 1000012, 1034889, 1310398, 1310375, 1310399, 1035020, 1008569, 1008566, 1035597, 1009011, 1009008, 1009027, 1009006, 1008963, 1000094, 1008955, 1008951, 1000093, 1310395, 1008964]",251.0
101010101,Mittelburgenland,101020202,Liezen,403.75,418.75,437.5,5491.0,5695.0,5950.0,30.0,320.0,3.0,"[1034974, 1008535, 1008552, 1000001, 1008851, 1008838, 1008858, 1310508, 1008857, 1008835, 1310381, 2608137, 1008678, 1035287, 1000017, 1008675, 1008654, 1008629, 1008663, 1000012, 1034889, 1310398, 1310375, 1310399, 1035020, 1008569, 1008566, 1035597, 1009011, 1009008, 1009027, 1009006, 1008963, 1000094, 1008955, 1008951, 1000093, 1310395, 1008964, 1035329, 1008961, 1035344, 1310515, 2500564, 2500454, 1008962, 1009002, 2608162, 1035154, 1035155, 1035151, 1008988, 1008980, 1008987]",353.0
101010101,Mittelburgenland,101020203,Ostliche Obersteiermark,631.25,653.75,682.5,8585.0,8891.0,9282.0,30.0,253.0,31.0,"[1034974, 1008535, 1008552, 1000001, 1008851, 1008838, 1008858, 1310508, 1008857, 1008835, 1310381, 2608137, 1008678, 1035287, 1000017, 1008675, 1008654, 1008629, 1008663, 1000012, 1034889, 1310398, 1310375, 1310399, 1035020, 1008569, 1008566, 1035597, 1009011, 1009008, 1009027, 1009006, 1008963, 1000094, 1008955, 1008951, 1000093, 1310395, 1008964, 1035329, 1008961, 1035344, 1310515, 2500564, 2500454]",314.0
101010101,Mittelburgenland,101020204,Oststeiermark,1621.25,1680.0,1753.75,22049.0,22848.0,23851.0,30.0,169.0,3.0,"[1034974, 1008535, 1008552, 1000001, 1008851, 1008838, 1008858, 1310508, 1008857, 1008835, 1310381, 2608137, 1008678, 1035287, 1000017, 1008675, 1008654, 1008629, 1008663, 1000012, 1034889, 1310398, 1310375, 1310399, 1035020, 1008569, 1008566, 1035597, 1009011, 1009008]",202.0
101010101,Mittelburgenland,101020205,West- und Sudsteiermark,665.0,688.75,720.0,9044.0,9367.0,9792.0,30.0,226.0,7.0,"[1034974, 1008535, 1008552, 1000001, 1008851, 1008838, 1008858, 1310508, 1008857, 1008835, 1310381, 2608137, 1008678, 1035287, 1000017, 1008675, 1008654, 1008629, 1008663, 1000012, 1034889, 1310398, 1310375, 1310399, 1035020, 1008569, 1008566, 1035597, 1009011, 1009008, 1009027, 1009006, 1008963, 1000094, 1008955, 1008951, 1310403, 1000097, 1035110, 1310420]",263.0
101010101,Mittelburgenland,101020206,Westliche Obersteiermark,455.0,471.25,492.5,6188.0,6409.0,6698.0,30.0,308.0,34.0,"[1008980, 1008988, 1035151, 1035155, 1035154, 2608162, 1009002, 1008962, 2500454, 2500564, 1310515, 1035344, 1008961, 1035329, 1008964, 1310395, 1000093, 1008951, 1008955, 1000094, 1008963, 1009006, 1009027, 1009008, 1009011, 1035597, 1008566, 1008569, 1035020, 1310399, 1310375, 1310398, 1034889, 1000012, 1008663, 1008629, 1008654, 1008675, 1000017, 1035287, 1008678, 2608137, 1310381, 1008835, 1008857, 1310508, 1008858, 1008838, 1008851, 1000001, 1008552, 1008535, 1034974]",372.0
101010101,Mittelburgenland,101030101,Innviertel,258.75,267.5,278.75,3519.0,3638.0,3791.0,30.0,302.0,5.0,"[1034974, 1008535, 1008552, 1000001, 1008851, 1008838, 1008858, 1310508, 1008808, 2608136, 1035529, 1008844, 1008842, 1310466, 1035299, 1310465, 1310464, 1000026, 1000018, 1301190, 1008681, 1310501, 1008690, 1301205, 1008682, 1034982, 1310502, 1008575, 1035027, 1008578, 1008584, 1008595, 1008621, 1035056, 1008618, 1000144, 2608113, 1035063, 1201202, 1310380, 1000141, 1300809, 1009124, 1301181, 1009111, 1009116, 1201209, 1201210, 1000135, 1000130, 1009087, 1009093, 1310514]",337.0
101010101,Mittelburgenland,101030102,Linz-Wels,1367.5,1416.25,1478.75,18598.0,19261.0,20111.0,30.0,235.0,7.0,"[1034974, 1008535, 1008552, 1000001, 1008851, 1008838, 1008858, 1310508, 1008808, 2608136, 1035529, 1008844, 1008842, 1310466, 1035299, 1310465, 1310464, 1000026, 1000018, 1301190, 1008681, 1310501, 1008690, 1301205, 1008682, 1034982, 1310502, 1008575, 1035027, 1008578, 1008584, 1008595, 1008621, 1035056, 1008618, 1000144, 2608113, 1035063, 1201202, 1310380, 1000141, 1300809]",272.0
101010101,Mittelburgenland,101030103,Muhlviertel,298.75,308.75,322.5,4063.0,4199.0,4386.0,30.0,258.0,14.0,"[1034974, 1008535, 1008552, 1000001, 1008851, 1008838, 1008858, 1310508, 1008808, 2608136, 1035529, 1008844, 1008842, 1310466, 1035299, 1310465, 1310464, 1000026, 1000018, 1301190, 1008681, 1310501, 1008690, 1301205, 1008682, 1034982, 1310502, 1008575, 1035027, 1008578, 1008584, 1008595, 1008621, 1035056, 1008618, 1000144, 2608113, 1035063, 1009122, 1301168, 1009131, 1310393, 1009118, 1201198, 1035621, 1310512, 1035622, 1009120, 1009141, 1009136, 1035617, 1035618, 2608159, 1009150, 1009153, 1310457, 2608161]",302.0
101010101,Mittelburgenland,101030104,Steyr-Kirchdorf,152.5,157.5,165.0,2074.0,2142.0,2244.0,30.0,295.0,17.0,"[1030253, 1035167, 1035166, 1009156, 1000138, 1000139, 1009106, 2608114, 1000141, 1310380, 1201202, 1035063, 2608113, 1000144, 1008618, 1035056, 1008621, 1008595, 1008584, 1008578, 1035027, 1008575, 1310502, 1034982, 1008682, 1301205, 1008690, 1310501, 1008681, 1301190, 1000018, 1000026, 1310464, 1310465, 1035299, 1310466, 1008842, 1008844, 1035529, 2608136, 1008808, 1310508, 1008858, 1008838, 1008851, 1000001, 1008552, 1008535, 1034974]",342.0
