,year,country,fuel,infrastructure_type,initial_capacity_kW,added_capacity_kW,total_capacity_kW,energy_consumed_kWh,utilization_rate,utilization_pct
1,2020,AT,electricity,fast_charging_station,0.0,10000.05665,10000.05665,26463.276598000008,0.00030209048726469564,0.030209048726469564
0,2020,AT,electricity,slow_charging_station,0.0,10074.590119,10074.590119,26463.276599999997,0.00029985557234771406,0.029985557234771407
2,2020,IT,electricity,fast_charging_station,0.0,76.30808299999998,76.30808299999998,0.0,0.0,0.0
3,2020,NO,electricity,fast_charging_station,0.0,12.592524,12.592524,0.0,0.0,0.0
4,2020,SE,electricity,fast_charging_station,0.0,15.543801999999998,15.543801999999998,0.0,0.0,0.0
6,2024,AT,electricity,fast_charging_station,0.0,24000.13596,24000.13596,63479.87695699999,0.00030193834353849997,0.030193834353849997
5,2024,AT,electricity,slow_charging_station,0.0,24156.898445000003,24156.898445000003,63479.876950999984,0.0002999789609694761,0.02999789609694761
7,2024,IT,electricity,fast_charging_station,0.0,134.418473,134.418473,0.0,0.0,0.0
8,2024,NO,electricity,fast_charging_station,0.0,13.231174999999999,13.231174999999999,0.0,0.0,0.0
9,2024,SE,electricity,fast_charging_station,0.0,18.035268000000002,18.035268000000002,0.0,0.0,0.0
11,2028,AT,electricity,fast_charging_station,0.0,34601.443153,34601.443153,91413.79827999999,0.00030158756830788016,0.030158756830788017
10,2028,AT,electricity,slow_charging_station,0.0,34784.550334,34784.550334,91413.79827999999,0.0003000000000073774,0.03000000000073774
12,2028,IT,electricity,fast_charging_station,0.0,151.966756,151.966756,0.0,0.0,0.0
13,2028,NO,electricity,fast_charging_station,0.0,13.642672999999997,13.642672999999997,0.0,0.0,0.0
14,2028,SE,electricity,fast_charging_station,0.0,18.165967000000002,18.165967000000002,0.0,0.0,0.0
16,2032,AT,electricity,fast_charging_station,0.0,42728.992397,42728.992397,99424.01740400003,0.00026562231027597497,0.026562231027597496
15,2032,AT,electricity,slow_charging_station,0.0,42915.718204000004,42915.718204000004,99424.01740799999,0.0002644665906034973,0.02644665906034973
17,2032,IT,electricity,fast_charging_station,0.0,151.966756,151.966756,0.0,0.0,0.0
18,2032,NO,electricity,fast_charging_station,0.0,13.642672999999997,13.642672999999997,0.0,0.0,0.0
19,2032,SE,electricity,fast_charging_station,0.0,18.165967000000002,18.165967000000002,0.0,0.0,0.0
21,2036,AT,electricity,fast_charging_station,0.0,42728.992397,42728.992397,97404.00674800003,0.00026022562734926775,0.026022562734926775
20,2036,AT,electricity,slow_charging_station,0.0,42915.718204000004,42915.718204000004,97404.00675399997,0.0002590933885887984,0.02590933885887984
22,2036,IT,electricity,fast_charging_station,0.0,151.966756,151.966756,0.0,0.0,0.0
23,2036,NO,electricity,fast_charging_station,0.0,13.642672999999997,13.642672999999997,0.0,0.0,0.0
24,2036,SE,electricity,fast_charging_station,0.0,18.165967000000002,18.165967000000002,0.0,0.0,0.0
26,2040,AT,electricity,fast_charging_station,0.0,42728.992397,42728.992397,88996.6209420001,0.00023776436195806162,0.02377643619580616
25,2040,AT,electricity,slow_charging_station,0.0,42915.718204000004,42915.718204000004,88996.62094499996,0.0002367298519025857,0.02367298519025857
27,2040,IT,electricity,fast_charging_station,0.0,151.966756,151.966756,0.0,0.0,0.0
28,2040,NO,electricity,fast_charging_station,0.0,13.642672999999997,13.642672999999997,0.0,0.0,0.0
29,2040,SE,electricity,fast_charging_station,0.0,18.165967000000002,18.165967000000002,0.0,0.0,0.0
31,2044,AT,electricity,fast_charging_station,0.0,42728.992397,42728.992397,87780.44923399988,0.00023451522410177644,0.023451522410177644
30,2044,AT,electricity,slow_charging_station,0.0,42915.718204000004,42915.718204000004,87780.44923200004,0.0002334948509952534,0.02334948509952534
32,2044,IT,electricity,fast_charging_station,0.0,151.966756,151.966756,0.0,0.0,0.0
33,2044,NO,electricity,fast_charging_station,0.0,13.642672999999997,13.642672999999997,0.0,0.0,0.0
34,2044,SE,electricity,fast_charging_station,0.0,18.165967000000002,18.165967000000002,0.0,0.0,0.0
36,2048,AT,electricity,fast_charging_station,0.0,42728.992397,42728.992397,87998.20920299999,0.0002350969940559757,0.02350969940559757
35,2048,AT,electricity,slow_charging_station,0.0,42915.718204000004,42915.718204000004,87998.20920099998,0.0002340740896749278,0.02340740896749278
37,2048,IT,electricity,fast_charging_station,0.0,151.966756,151.966756,0.0,0.0,0.0
38,2048,NO,electricity,fast_charging_station,0.0,13.642672999999997,13.642672999999997,0.0,0.0,0.0
39,2048,SE,electricity,fast_charging_station,0.0,18.165967000000002,18.165967000000002,0.0,0.0,0.0
41,2052,AT,electricity,fast_charging_station,0.0,42728.992397,42728.992397,81765.57312999999,0.00021844581422995275,0.021844581422995276
40,2052,AT,electricity,slow_charging_station,0.0,42915.718204000004,42915.718204000004,81765.57312299995,0.00021749535893166185,0.021749535893166184
42,2052,IT,electricity,fast_charging_station,0.0,151.966756,151.966756,0.0,0.0,0.0
43,2052,NO,electricity,fast_charging_station,0.0,13.642672999999997,13.642672999999997,0.0,0.0,0.0
44,2052,SE,electricity,fast_charging_station,0.0,18.165967000000002,18.165967000000002,0.0,0.0,0.0
46,2056,AT,electricity,fast_charging_station,0.0,42728.992397,42728.992397,82128.27393899999,0.00021941480974372354,0.021941480974372353
45,2056,AT,electricity,slow_charging_station,0.0,42915.718204000004,42915.718204000004,82128.27393900004,0.0002184601383754759,0.021846013837547588
47,2056,IT,electricity,fast_charging_station,0.0,151.966756,151.966756,0.0,0.0,0.0
48,2056,NO,electricity,fast_charging_station,0.0,13.642672999999997,13.642672999999997,0.0,0.0,0.0
49,2056,SE,electricity,fast_charging_station,0.0,18.165967000000002,18.165967000000002,0.0,0.0,0.0
51,2060,AT,electricity,fast_charging_station,0.0,42728.992397,42728.992397,40386.826438,0.00010789789452568218,0.010789789452568218
50,2060,AT,electricity,slow_charging_station,0.0,42915.718204000004,42915.718204000004,40386.826434999995,0.00010742843199273319,0.010742843199273319
52,2060,IT,electricity,fast_charging_station,0.0,151.966756,151.966756,0.0,0.0,0.0
53,2060,NO,electricity,fast_charging_station,0.0,13.642672999999997,13.642672999999997,0.0,0.0,0.0
54,2060,SE,electricity,fast_charging_station,0.0,18.165967000000002,18.165967000000002,0.0,0.0,0.0
56,2064,AT,electricity,fast_charging_station,0.0,42728.992397,42728.992397,0.0,0.0,0.0
55,2064,AT,electricity,slow_charging_station,0.0,42915.718204000004,42915.718204000004,0.0,0.0,0.0
57,2064,IT,electricity,fast_charging_station,0.0,151.966756,151.966756,0.0,0.0,0.0
58,2064,NO,electricity,fast_charging_station,0.0,13.642672999999997,13.642672999999997,0.0,0.0,0.0
59,2064,SE,electricity,fast_charging_station,0.0,18.165967000000002,18.165967000000002,0.0,0.0,0.0
61,2068,AT,electricity,fast_charging_station,0.0,42728.992397,42728.992397,0.0,0.0,0.0
60,2068,AT,electricity,slow_charging_station,0.0,42915.718204000004,42915.718204000004,0.0,0.0,0.0
62,2068,IT,electricity,fast_charging_station,0.0,151.966756,151.966756,0.0,0.0,0.0
63,2068,NO,electricity,fast_charging_station,0.0,13.642672999999997,13.642672999999997,0.0,0.0,0.0
64,2068,SE,electricity,fast_charging_station,0.0,18.165967000000002,18.165967000000002,0.0,0.0,0.0
66,2072,AT,electricity,fast_charging_station,0.0,42728.992397,42728.992397,0.0,0.0,0.0
65,2072,AT,electricity,slow_charging_station,0.0,42915.718204000004,42915.718204000004,0.0,0.0,0.0
67,2072,IT,electricity,fast_charging_station,0.0,151.966756,151.966756,0.0,0.0,0.0
68,2072,NO,electricity,fast_charging_station,0.0,13.642672999999997,13.642672999999997,0.0,0.0,0.0
69,2072,SE,electricity,fast_charging_station,0.0,18.165967000000002,18.165967000000002,0.0,0.0,0.0
71,2076,AT,electricity,fast_charging_station,0.0,42728.992397,42728.992397,0.0,0.0,0.0
70,2076,AT,electricity,slow_charging_station,0.0,42915.718204000004,42915.718204000004,0.0,0.0,0.0
72,2076,IT,electricity,fast_charging_station,0.0,151.966756,151.966756,0.0,0.0,0.0
73,2076,NO,electricity,fast_charging_station,0.0,13.642672999999997,13.642672999999997,0.0,0.0,0.0
74,2076,SE,electricity,fast_charging_station,0.0,18.165967000000002,18.165967000000002,0.0,0.0,0.0
76,2080,AT,electricity,fast_charging_station,0.0,42728.992397,42728.992397,0.0,0.0,0.0
75,2080,AT,electricity,slow_charging_station,0.0,42915.718204000004,42915.718204000004,0.0,0.0,0.0
77,2080,IT,electricity,fast_charging_station,0.0,151.966756,151.966756,0.0,0.0,0.0
78,2080,NO,electricity,fast_charging_station,0.0,13.642672999999997,13.642672999999997,0.0,0.0,0.0
79,2080,SE,electricity,fast_charging_station,0.0,18.165967000000002,18.165967000000002,0.0,0.0,0.0
81,2084,AT,electricity,fast_charging_station,0.0,42728.992397,42728.992397,0.0,0.0,0.0
80,2084,AT,electricity,slow_charging_station,0.0,42915.718204000004,42915.718204000004,0.0,0.0,0.0
82,2084,IT,electricity,fast_charging_station,0.0,151.966756,151.966756,0.0,0.0,0.0
83,2084,NO,electricity,fast_charging_station,0.0,13.642672999999997,13.642672999999997,0.0,0.0,0.0
84,2084,SE,electricity,fast_charging_station,0.0,18.165967000000002,18.165967000000002,0.0,0.0,0.0
86,2088,AT,electricity,fast_charging_station,0.0,42728.992397,42728.992397,0.0,0.0,0.0
85,2088,AT,electricity,slow_charging_station,0.0,42915.718204000004,42915.718204000004,0.0,0.0,0.0
87,2088,IT,electricity,fast_charging_station,0.0,151.966756,151.966756,0.0,0.0,0.0
88,2088,NO,electricity,fast_charging_station,0.0,13.642672999999997,13.642672999999997,0.0,0.0,0.0
89,2088,SE,electricity,fast_charging_station,0.0,18.165967000000002,18.165967000000002,0.0,0.0,0.0
91,2092,AT,electricity,fast_charging_station,0.0,42728.992397,42728.992397,0.0,0.0,0.0
90,2092,AT,electricity,slow_charging_station,0.0,42915.718204000004,42915.718204000004,0.0,0.0,0.0
92,2092,IT,electricity,fast_charging_station,0.0,151.966756,151.966756,0.0,0.0,0.0
93,2092,NO,electricity,fast_charging_station,0.0,13.642672999999997,13.642672999999997,0.0,0.0,0.0
94,2092,SE,electricity,fast_charging_station,0.0,18.165967000000002,18.165967000000002,0.0,0.0,0.0
96,2096,AT,electricity,fast_charging_station,0.0,42728.992397,42728.992397,0.0,0.0,0.0
95,2096,AT,electricity,slow_charging_station,0.0,42915.718204000004,42915.718204000004,0.0,0.0,0.0
97,2096,IT,electricity,fast_charging_station,0.0,151.966756,151.966756,0.0,0.0,0.0
98,2096,NO,electricity,fast_charging_station,0.0,13.642672999999997,13.642672999999997,0.0,0.0,0.0
99,2096,SE,electricity,fast_charging_station,0.0,18.165967000000002,18.165967000000002,0.0,0.0,0.0
101,2100,AT,electricity,fast_charging_station,0.0,42728.992397,42728.992397,0.0,0.0,0.0
100,2100,AT,electricity,slow_charging_station,0.0,42915.718204000004,42915.718204000004,0.0,0.0,0.0
102,2100,IT,electricity,fast_charging_station,0.0,151.966756,151.966756,0.0,0.0,0.0
103,2100,NO,electricity,fast_charging_station,0.0,13.642672999999997,13.642672999999997,0.0,0.0,0.0
104,2100,SE,electricity,fast_charging_station,0.0,18.165967000000002,18.165967000000002,0.0,0.0,0.0
